event_id,timestamp,camera_id,track_id,violation_type,severity,confidence,duration_sec,zone_id,bbox_person,bbox_ppe,snapshot_path,clip_path
1770245526_cam_1_22_NO_HELMET,1770245526.3161771,cam_1,22,NO_HELMET,MEDIUM,0.48349884152412415,2.0972723960876465,,"(662.4486083984375, 28.489688873291016, 721.8618774414062, 179.60423278808594)",None,output\snapshots\1770245526_cam_1_22_NO_HELMET.jpg,output\clips\1770245526_cam_1_22_NO_HELMET.mp4
1770245526_cam_1_22_NO_VEST,1770245526.3909626,cam_1,22,NO_VEST,MEDIUM,0.48349884152412415,2.0972723960876465,,"(662.4486083984375, 28.489688873291016, 721.8618774414062, 179.60423278808594)",None,output\snapshots\1770245526_cam_1_22_NO_VEST.jpg,output\clips\1770245526_cam_1_22_NO_VEST.mp4
1770245528_cam_1_23_IN_DANGER_ZONE,1770245528.8765337,cam_1,23,IN_DANGER_ZONE,HIGH,0.7511325478553772,1.0931661128997803,zone_1,"(152.1461181640625, 167.06825256347656, 267.5640563964844, 409.29254150390625)",None,output\snapshots\1770245528_cam_1_23_IN_DANGER_ZONE.jpg,output\clips\1770245528_cam_1_23_IN_DANGER_ZONE.mp4
1770245529_cam_1_23_NO_HELMET,1770245529.6486762,cam_1,23,NO_HELMET,MEDIUM,0.38448402285575867,2.065617084503174,zone_1,"(152.15072631835938, 165.02992248535156, 270.3909606933594, 407.9211120605469)",None,output\snapshots\1770245529_cam_1_23_NO_HELMET.jpg,output\clips\1770245529_cam_1_23_NO_HELMET.mp4
1770245529_cam_1_23_NO_VEST,1770245529.726438,cam_1,23,NO_VEST,MEDIUM,0.38448402285575867,2.065617084503174,zone_1,"(152.15072631835938, 165.02992248535156, 270.3909606933594, 407.9211120605469)",None,output\snapshots\1770245529_cam_1_23_NO_VEST.jpg,output\clips\1770245529_cam_1_23_NO_VEST.mp4
1770245531_cam_1_26_NO_HELMET,1770245531.571775,cam_1,26,NO_HELMET,MEDIUM,0.7458050847053528,2.0310006141662598,,"(256.89788818359375, 42.62285232543945, 328.9776916503906, 157.83450317382812)",None,output\snapshots\1770245531_cam_1_26_NO_HELMET.jpg,output\clips\1770245531_cam_1_26_NO_HELMET.mp4
1770245531_cam_1_26_NO_VEST,1770245531.6433964,cam_1,26,NO_VEST,MEDIUM,0.7458050847053528,2.0310006141662598,,"(256.89788818359375, 42.62285232543945, 328.9776916503906, 157.83450317382812)",None,output\snapshots\1770245531_cam_1_26_NO_VEST.jpg,output\clips\1770245531_cam_1_26_NO_VEST.mp4
1770245533_cam_1_23_IN_DANGER_ZONE,1770245533.8951552,cam_1,23,IN_DANGER_ZONE,HIGH,0.8511833548545837,6.111787557601929,zone_1,"(162.5445556640625, 164.389404296875, 272.8902893066406, 410.2026672363281)",None,output\snapshots\1770245533_cam_1_23_IN_DANGER_ZONE.jpg,output\clips\1770245533_cam_1_23_IN_DANGER_ZONE.mp4
1770245533_cam_1_27_NO_HELMET,1770245533.9697363,cam_1,27,NO_HELMET,MEDIUM,0.4162180423736572,2.93422532081604,,"(336.26666259765625, 52.8499755859375, 384.232666015625, 138.63284301757812)",None,output\snapshots\1770245533_cam_1_27_NO_HELMET.jpg,output\clips\1770245533_cam_1_27_NO_HELMET.mp4
1770245534_cam_1_27_NO_VEST,1770245534.0454779,cam_1,27,NO_VEST,MEDIUM,0.4162180423736572,2.93422532081604,,"(336.26666259765625, 52.8499755859375, 384.232666015625, 138.63284301757812)",None,output\snapshots\1770245534_cam_1_27_NO_VEST.jpg,output\clips\1770245534_cam_1_27_NO_VEST.mp4
